reviewed,origin,predicted_label,chosen_match,best_match,ontology_id,confidence,timestamp
False,ground_truth:tabula_sapiens,erythroid progenitor,erythroid progenitor cell,erythroid progenitor cell,CL:0000038,0.8728002309799194,2026-03-09T11:38:27+00:00
True,ground_truth:tabula_sapiens,eye photoreceptor cell,eye photoreceptor cell,eye photoreceptor cell,CL:0000287,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,fast muscle cell,fast muscle cell,fast muscle cell,CL:0000190,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,fibroblast,fibroblast,fibroblast,CL:0000057,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,fibroblast of breast,fibroblast of breast,fibroblast of breast,CL:4006000,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,fibroblast of cardiac tissue,fibroblast of cardiac tissue,fibroblast of cardiac tissue,CL:0002548,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:human_pancreas,gamma,pancreatic PP cell,gamma motor neuron,CL:0002275,0.4346194863319397,2026-03-09T10:28:14+00:00
False,ground_truth:hiha,gdT,granulocyte monocyte progenitor cell,granulocyte monocyte progenitor cell,CL:0000557,0.2557598948478699,2026-03-09T10:55:38+00:00
True,ground_truth:tabula_sapiens,goblet cell,goblet cell,goblet cell,CL:0000160,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,granulocyte,granulocyte,granulocyte,CL:0000094,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,gut endothelial cell,gut endothelial cell,gut endothelial cell,CL:0000131,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,hematopoietic stem cell,hematopoietic stem cell,hematopoietic stem cell,CL:0000037,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,hepatocyte,hepatocyte,hepatocyte,CL:0000182,1.0,2026-03-09T11:38:11+00:00
False,ground_truth:tabula_sapiens,hillock cell of prostate epithelium,hillock cell of prostatic urethral epithelium,hillock cell of prostatic urethral epithelium,CL:0017011,0.8998844027519226,2026-03-09T11:38:27+00:00
False,ground_truth:tabula_sapiens,hillock-club cell of prostate epithelium,hillock cell of prostatic urethral epithelium,hillock cell of prostatic urethral epithelium,CL:0017011,0.8412001729011536,2026-03-09T11:38:27+00:00
True,ground_truth:tabula_sapiens,immature enterocyte,vacuolated fetal-type enterocyte,vacuolated fetal-type enterocyte,CL:0009067,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,immature natural killer cell,immature natural killer cell,immature natural killer cell,CL:0000823,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,immune cell,leukocyte,leukocyte,CL:0000738,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,innate lymphoid cell,innate lymphoid cell,innate lymphoid cell,CL:0001065,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,intermediate monocyte,intermediate monocyte,intermediate monocyte,CL:0002393,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,intestinal crypt stem cell,intestinal crypt stem cell,intestinal crypt stem cell,CL:0002250,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,intestinal crypt stem cell of large intestine,intestinal crypt stem cell of large intestine,intestinal crypt stem cell of large intestine,CL:0009016,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,intestinal crypt stem cell of small intestine,intestinal crypt stem cell of small intestine,intestinal crypt stem cell of small intestine,CL:0009017,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,intestinal enteroendocrine cell,intestinal enteroendocrine cell,intestinal enteroendocrine cell,CL:1001516,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,intestinal tuft cell,intestinal tuft cell,intestinal tuft cell,CL:0019032,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,intrahepatic cholangiocyte,intrahepatic cholangiocyte,intrahepatic cholangiocyte,CL:0002538,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,ionocyte,ionocyte,ionocyte,CL:0005006,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,keratinocyte,keratinocyte,keratinocyte,CL:0000312,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,kidney epithelial cell,kidney epithelial cell,kidney epithelial cell,CL:0002518,1.0,2026-03-09T11:38:11+00:00
False,ground_truth:tabula_sapiens,lacrimal gland functional unit cell,epithelial cell of lacrimal sac,epithelial cell of lacrimal sac,CL:1000436,0.645849347114563,2026-03-09T11:38:27+00:00
True,ground_truth:tabula_sapiens,large intestine goblet cell,large intestine goblet cell,large intestine goblet cell,CL:1000320,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,leucocyte,leukocyte,leukocyte,CL:0000738,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,limbal stem cell,limbal epithelial stem cell of cornea,limbal epithelial stem cell of cornea,CL:4033093,1.0,2026-03-09T11:38:11+00:00
False,ground_truth:tabula_sapiens,limbal stromal cell,stromal cell,stromal cell,CL:0000499,0.7288303375244141,2026-03-09T11:38:27+00:00
True,ground_truth:tabula_sapiens,liver dendritic cell,liver dendritic cell,liver dendritic cell,CL:2000055,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,luminal cell of prostate epithelium,luminal cell of prostate epithelium,luminal cell of prostate epithelium,CL:0002340,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,luminal epithelial cell of mammary gland,luminal epithelial cell of mammary gland,luminal epithelial cell of mammary gland,CL:0002326,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,lung ciliated cell,lung multiciliated epithelial cell,lung multiciliated epithelial cell,CL:1000271,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,lung microvascular endothelial cell,lung microvascular endothelial cell,lung microvascular endothelial cell,CL:2000016,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,lymphatic endothelial cell,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:human_pancreas,macrophage,macrophage,macrophage,CL:0000235,1.0,2026-03-09T10:19:56+00:00
True,ground_truth:human_pancreas,mast,mast cell,mast cell,CL:0000097,0.4277987480163574,2026-03-09T10:28:19+00:00
True,ground_truth:tabula_sapiens,mast cell,mast cell,mast cell,CL:0000097,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,mature enterocyte,enterocyte,enterocyte,CL:0000584,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,mature nk t cell,mature NK T cell,mature NK T cell,CL:0000814,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,medullary thymic epithelial cell,medullary thymic epithelial cell,medullary thymic epithelial cell,CL:0002365,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,melanocyte,melanocyte,melanocyte,CL:0000148,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,memory b cell,memory B cell,memory B cell,CL:0000787,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,mesenchymal stem cell,mesenchymal stem cell,mesenchymal stem cell,CL:0000134,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,mesothelial cell,mesothelial cell,mesothelial cell,CL:0000077,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,microglial cell,microglial cell,microglial cell,CL:0000129,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,monocyte,monocyte,monocyte,CL:0000576,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,mucus secreting cell,mucus secreting cell,mucus secreting cell,CL:0000319,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,muller cell,Mueller cell,Mueller cell,CL:0000636,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,muscle cell,muscle cell,muscle cell,CL:0000187,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,myeloid cell,myeloid cell,myeloid cell,CL:0000763,1.0,2026-03-09T11:38:11+00:00
False,ground_truth:tabula_sapiens,myeloid progenitor,common myeloid progenitor,common myeloid progenitor,CL:0000049,0.715904712677002,2026-03-09T11:38:27+00:00
True,ground_truth:tabula_sapiens,myoepithelial cell,myoepithelial cell,myoepithelial cell,CL:0000185,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,myofibroblast cell,myofibroblast cell,myofibroblast cell,CL:0000186,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,myometrial cell,myometrial cell,myometrial cell,CL:0002366,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,naive b cell,naive B cell,naive B cell,CL:0000788,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,naive regulatory t cell,naive regulatory T cell,naive regulatory T cell,CL:0002677,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,"naive thymus-derived cd4-positive, alpha-beta t cell","naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,1.0,2026-03-09T11:38:11+00:00
